Source	Highest log-likelihood	for chain	Rhat for the proportion estimate	Rhat for the branch position estimate
N11Ursidae	-1308.68	0	-1	-1
NC_011112.1_Ursus_spelaeus_mitochondrion__complete_genome	-1308.68	0	-1	-1
NC_003428.1_Ursus_maritimus_mitochondrion__complete_genome	-1308.68	0	-1	-1
NC_003427.1_Ursus_arctos_mitochondrion__complete_genome	-1308.68	0	-1	-1
N3Ursidae	-1308.68	0	-1	-1
NC_009968.1_Helarctos_malayanus_mitochondrion__complete_genome	-1308.68	0	-1	-1
N10Ursidae	-1308.68	0	-1	-1
N5Ursidae	-1308.68	0	-1	-1
N12Ursidae	-1308.68	0	-1	-1
N2Ursidae	-1308.68	0	-1	-1
N1Ursidae	-1308.68	0	-1	-1
NC_009970.1_Melursus_ursinus_mitochondrion__complete_genome	-1308.68	0	-1	-1
NC_003426.1_Ursus_americanus_mitochondrion__complete_genome	-1308.68	0	-1	-1
N4Ursidae	-1308.68	0	-1	-1
N6Ursidae	-1308.68	0	-1	-1
